zip_or_postal_code,ZCTA,CITY,STATE,COUNTY,LAT,LNG,POP,AVG_HOUSEHOLD_SIZE,POP_DENSITY,AREA_TYPE,MEDIAN_INCOME,age_group,population_growth_rate,ESTAB,EMP,RESTAURANT_COUNT,cluster_id,market_segment,restaurant category,price positioning,restaurant_source_file
38119,38119,Memphis,TN,Shelby,35.07986,-89.84593,22990.0,2.31,1027.6,SUBURBAN,92500,adult,-2.1327316844749054,1590.0,31577.0,63.0,4,Premium Dining Market,Mexican cuisine restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38019,38019,Covington,TN,Tipton,35.56114,-89.6304,15466.0,2.55,43.3,RURAL,57124,millennial,-2.262386248736097,70.0,1131.0,23.0,1,Premium Dining Market,Beverage-led restaurant,mid-market trade area,MEM_compstore_restaurants.csv
72301,72301,West Memphis,AR,Crittenden,35.13363,-90.17883,24404.0,2.47,313.2,RURAL,41022,millennial,-1.4895248859645582,66.0,1111.0,37.0,3,Family Value Market,Fast-service restaurant,value-oriented trade area,MEM_compstore_restaurants.csv
38125,38125,Memphis,TN,Shelby,35.02537,-89.78936,43305.0,2.8,875.1,RURAL,80116,millennial,16.983629585607,1590.0,31577.0,50.0,9,Premium Dining Market,Fast-service restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38125,38125,Memphis,TN,Shelby,35.02537,-89.78936,43305.0,2.8,875.1,RURAL,80116,millennial,16.983629585607,1590.0,31577.0,50.0,9,Premium Dining Market,Asian cuisine restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38103,38103,Memphis,TN,Shelby,35.15308,-90.05518,13981.0,1.53,2115.1,SUBURBAN,89851,millennial,-0.40604074654509187,1590.0,31577.0,91.0,4,Premium Dining Market,Wings-focused restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38118,38118,Memphis,TN,Shelby,35.03655,-89.93021,39373.0,2.97,495.6,RURAL,41830,young,1.0263515767326097,1590.0,31577.0,54.0,8,Social Dining Market,Mexican cuisine restaurant,value-oriented trade area,MEM_compstore_restaurants.csv
38103,38103,Memphis,TN,Shelby,35.15308,-90.05518,13981.0,1.53,2115.1,SUBURBAN,89851,millennial,-0.40604074654509187,1590.0,31577.0,91.0,4,Premium Dining Market,Seafood-focused restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38119,38119,Memphis,TN,Shelby,35.07986,-89.84593,22990.0,2.31,1027.6,SUBURBAN,92500,adult,-2.1327316844749054,1590.0,31577.0,63.0,4,Premium Dining Market,Beverage-led restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38017,38017,Collierville,TN,Shelby,35.06722,-89.65347,55570.0,2.83,267.7,RURAL,131354,adult,3.716008137516565,1590.0,31577.0,74.0,9,Premium Dining Market,Fast-service restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38134,38134,Memphis,TN,Shelby,35.17674,-89.85992,42789.0,2.67,913.5,RURAL,57630,millennial,-2.9683885890516577,1590.0,31577.0,90.0,0,Social Dining Market,General restaurant,mid-market trade area,MEM_compstore_restaurants.csv
38139,38139,Germantown,TN,Shelby,35.08615,-89.75581,16627.0,2.85,730.4,RURAL,174396,adult,3.7890137328339577,1590.0,31577.0,17.0,13,Social Dining Market,General restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38018,38018,Cordova,TN,Shelby,35.13781,-89.76647,38338.0,2.71,797.3,RURAL,82355,millennial,2.837982832618026,1590.0,31577.0,82.0,9,Premium Dining Market,General restaurant,higher-income trade area,MEM_compstore_restaurants.csv
